entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation,timestamp
template,TPL_SEG_08_SOCIAL___EXPANSION_DRIVE_01,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Start Today's Session,Start Today's Session,Sharpened with unique perspective angle.,2026-03-10 19:50:11
template,TPL_SEG_08_SOCIAL___EXPANSION_DRIVE_02,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Ready to beat yesterday?,Ready to beat yesterday?,Sharpened with fresh take angle.,2026-03-10 19:50:16
template,TPL_SEG_08_SOCIAL___EXPANSION_DRIVE_03,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%","1,400 learners practiced today",Unlock Your Streak's Masterpiece,यह टाइटल और बॉडी को अधिक उत्साहजनक बनाते हैं और उपयोगकर्ता को अपनी स्ट्रीक को पूरा करने के लिए प्रेरित करते हैं,2026-03-10 19:50:20
template,TPL_SEG_08_SOCIAL___EXPANSION_DRIVE_04,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Tip: 10 min daily beats 2 hr weekly,Unlock Your Streak's Masterpiece Today!,यह टाइटल और बॉडी अधिक उर्जित हैं क्योंकि वे स्पष्ट रूप से उपयोगकर्ता को प्रोत्साहित करते हैं और उन्हें अपनी प्रगति को बढ़ाने के लिए प्रेरित करते हैं।,2026-03-10 19:50:25
template,TPL_SEG_08_SOCIAL___EXPANSION_DRIVE_05,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Day 5 Challenge Unlocked,Unlock Your Streak's Masterpiece Today!,"This title uses a fresh metaphor and is more urgent than the original, while still being respectful and encouraging.",2026-03-10 19:50:29
template,TPL_SEG_08_OVERCOMING_THE_SLUMP_01,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Your Streak is at Risk!,Your Streak is at Risk!,Sharpened with unique perspective angle.,2026-03-10 19:50:33
template,TPL_SEG_08_OVERCOMING_THE_SLUMP_02,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Ready to Beat Yesterday?,Phoenix Rising: Unlock Your Streak,"More urgent and punchy, while maintaining the fresh take angle and Epic Meaning theme",2026-03-10 19:50:37
template,TPL_SEG_08_OVERCOMING_THE_SLUMP_03,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%","1,400 Learners Practiced Today","1,400 Learners Practiced Today",Sharpened with surprising twist angle.,2026-03-10 19:50:42
template,TPL_SEG_08_OVERCOMING_THE_SLUMP_04,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Tip: 10 min daily beats 2 hr weekly,Tip: 10 min daily beats 2 hr weekly,Sharpened with bold claim angle.,2026-03-10 19:51:24
template,TPL_SEG_08_OVERCOMING_THE_SLUMP_05,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Day 5 Challenge Unlocked!,Unlock Your Streak's Masterpiece Today!,This title is punchier because it uses a metaphor (masterpiece) and creates a sense of urgency (today's challenge),2026-03-10 19:51:27
template,TPL_SEG_08_ROI_DEMONSTRATION_01,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Start Today's Session,Unlock Your Streak's Masterpiece Today!,यह अधिक उत्साहजनक और प्रभावी है,2026-03-10 19:51:32
template,TPL_SEG_08_ROI_DEMONSTRATION_02,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Ready to Beat Yesterday?,Unlock Your Streak's Masterpiece Today!,यह एक उज्ज्वल अर्थ का प्रतीक है जो उपयोगकर्ताओं को आकर्षित करता है और उन्हें प्रोत्साहित करता है,2026-03-10 19:51:36
template,TPL_SEG_08_ROI_DEMONSTRATION_03,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%","1,400 Learners Practiced Today",Unlock Your Streak's Masterpiece Today!,"This title uses a surprising twist angle with the metaphor of a 'masterpiece' to make the user feel like they're unlocking something special, while also being clear and concise about the benefit of using Sia's AI tutor.",2026-03-10 19:51:42
template,TPL_SEG_08_ROI_DEMONSTRATION_04,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Tip: 10 Min Daily Beats 2 Hr Weekly,Tip: 10 Min Daily Beats 2 Hr Weekly,Sharpened with bold claim angle.,2026-03-10 19:51:47
template,TPL_SEG_08_ROI_DEMONSTRATION_05,template_iteration,"neutral_performance_iteration: CTR=11.33%, ER=34.67%",Day 5 Challenge Unlocked,Day 5 Challenge Unlocked,Sharpened with emotional hook angle.,2026-03-10 19:51:51
template,TPL_SEG_08_RETENTION___RENEWAL_01,template_iteration,"neutral_performance_iteration: CTR=12.33%, ER=36.00%",Your Streak is at Risk,Your Streak's Masterpiece Was Hidden,"This title uses a unique perspective metaphor, emphasizing the idea that the user's streak is a hidden masterpiece. The punchier tone is achieved by using a more urgent and motivational language.",2026-03-10 19:51:55
template,TPL_SEG_08_RETENTION___RENEWAL_02,template_iteration,"neutral_performance_iteration: CTR=12.33%, ER=36.00%",Ready to Beat Yesterday?,Unlock Your Streak's Masterpiece Today!,"This title is punchier because it uses a fresh take angle and emphasizes the importance of taking action today, rather than just mentioning a challenge.",2026-03-10 19:51:59
template,TPL_SEG_08_RETENTION___RENEWAL_03,template_iteration,"neutral_performance_iteration: CTR=12.33%, ER=36.00%","1,400 Learners Practiced Today","Your Streak Was Hidden, But SpeakX Uncovered It","More urgent and punchy than original, with a fresh metaphor that references the hidden streak.",2026-03-10 19:52:03
template,TPL_SEG_08_RETENTION___RENEWAL_04,template_iteration,"neutral_performance_iteration: CTR=12.33%, ER=36.00%",Tip: 10 min Daily Beats 2 hr Weekly,Tip: 10 min Daily Beats 2 hr Weekly,Sharpened with bold claim angle.,2026-03-10 19:52:08
template,TPL_SEG_08_RETENTION___RENEWAL_05,template_iteration,"neutral_performance_iteration: CTR=12.33%, ER=36.00%",Day 5 Challenge Unlocked,Your Streak's Masterpiece in Danger,This title is punchier because it uses a more urgent tone and emphasizes the importance of taking action to save the user's streak.,2026-03-10 19:52:12
template,TPL_SEG_13_THE_LOW_FRICTION_RE_ENGAGEMENT_01,template_iteration,"neutral_performance_iteration: CTR=7.67%, ER=23.33%",Start Today's Session,Unlock Your Streak's Masterpiece Today!,"This title uses a unique perspective angle and is more punchy than the original, while still maintaining the Empowerment theme.",2026-03-10 19:52:16
template,TPL_SEG_13_THE_LOW_FRICTION_RE_ENGAGEMENT_02,template_iteration,"neutral_performance_iteration: CTR=7.67%, ER=23.33%",Ready to beat yesterday?,Unlock Your Streak's Secret in a Forgotten Box,"This title uses a fresh take angle and is more urgent/punchy than the original, while still being respectful and empowering.",2026-03-10 19:52:20
template,TPL_SEG_13_THE_LOW_FRICTION_RE_ENGAGEMENT_03,template_iteration,"neutral_performance_iteration: CTR=7.67%, ER=23.33%","1,400 learners practiced today",Unlock Your Streak's Masterpiece Today!,Surprising twist angle and punchier tone,2026-03-10 19:52:24
template,TPL_SEG_13_THE_LOW_FRICTION_RE_ENGAGEMENT_04,template_iteration,"neutral_performance_iteration: CTR=7.67%, ER=23.33%",Tip: 10 min daily beats 2 hr weekly,Unlock Your Streak's Masterpiece Today!,"This title is punchier because it uses a bold claim metaphor and is more direct, while still being respectful and motivational.",2026-03-10 19:52:28
template,TPL_SEG_13_THE_LOW_FRICTION_RE_ENGAGEMENT_05,template_iteration,"neutral_performance_iteration: CTR=7.67%, ER=23.33%",Day 5 Challenge Unlocked,Unlock Your Streak's Masterpiece Today!,More urgent/punchy than original but NOT spammy,2026-03-10 19:52:33
segment,SEG_06,frequency_reduction,uninstall_rate_exceeded_2%,wide_notif_schedule,last_2_notifs_cleared_per_row (14 cells),Segment SEG_06 avg uninstall_rate=0.025 > 0.02. Cleared last two populated notif columns in wide-format schedule rows.,2026-03-10 19:52:33
